"73308229977","ملی","IR232751487653700609545547","5593612"
"73308229977","ملت","IR724959137718147803513761","4220138"
"73308229977","تجارت","IR463307405869796859935762","2862376"
"73308229977","تجارت","IR207903441866383497122382","9539833"
"39118873363","ملت","IR650772924395904740143747","7556901"
"39118873363","سرمایه","IR798194626542441007676284","5941057"
"39118873363","ملت","IR786940359829268531687007","1202979"
"39118873363","صادرات","IR682662309154313185503811","1735915"
"69549578547","تجارت","IR322265549033518568605319","8550530"
"69549578547","سرمایه","IR543875219744087783830390","7944474"
"69549578547","صادرات","IR665124061358904481854430","9198915"
"17990981120","صادرات","IR755239028576721216058690","4431116"
"17990981120","سرمایه","IR517362104908675584658446","4763675"
"17990981120","ملت","IR897168000999472698322346","8423637"
"14192621532","ملت","IR547736134141190386662134","3673497"
"14192621532","ملی","IR717260121183765659248815","2907912"
"71508538885","تجارت","IR894767942388451252805756","5590550"
"99712420608","سرمایه","IR908295596544869610219748","6914950"
"99712420608","سرمایه","IR578431350465048317121243","4812030"
"99712420608","سرمایه","IR596803759252951147374734","8477230"
"57911826585","سرمایه","IR376333031555411576338725","5054885"
"89876902375","سرمایه","IR437250038158356445477654","6531132"
"89876902375","ملت","IR851018550229567870654890","5037360"
"64743909646","سرمایه","IR920963205069964945145390","4901626"
"20569697106","ملی","IR860591470863225727537766","2789248"
"20569697106","ملت","IR271625589808437251726402","1152068"
"20569697106","سرمایه","IR642232308922086433890097","2031223"
"20569697106","سرمایه","IR186790651762774011778733","6439919"
"22819565968","سرمایه","IR351499715952385277958452","1208624"
"22819565968","تجارت","IR448283172480636319619100","9144143"
"22819565968","تجارت","IR586782913724936617299404","7647020"
"22819565968","صادرات","IR667260526078910265085535","1380944"
"76923450385","صادرات","IR137326885210598721299851","7189231"
"76923450385","ملت","IR199293955416425105991504","2596514"
"94961020209","سرمایه","IR321346846278415060489313","3799268"
"94961020209","ملی","IR551637166058172246137108","4790930"
"36098449186","ملی","IR672234914976348314790747","2313677"
"61063287475","صادرات","IR593933027936430070411006","5364387"
"53899900671","ملت","IR248759648292656428240386","4881512"
"53899900671","سرمایه","IR625576462610304787366576","3518931"
"53899900671","ملی","IR918922648225904437905245","5190585"
"53899900671","ملت","IR948800910149536325974965","3053001"
"43981625383","صادرات","IR559718879574621198057047","8190024"
"43981625383","سرمایه","IR839066752955787801169390","9745973"
"43981625383","ملت","IR154190646558702150339952","1763618"
"65031603714","سرمایه","IR558574479406871297410537","3650296"
"97635489211","ملت","IR177201550640970005507704","1567344"
"97635489211","تجارت","IR439125674193300567328456","9549529"
"97635489211","صادرات","IR766438972148106343401106","6360212"
"62523106098","ملی","IR832279537502913794454098","5432175"
"66287568073","ملی","IR484216782842056569135579","5275503"
"66287568073","ملی","IR984627502041600563193689","2064102"
"66287568073","ملت","IR117262406478839020701432","2331505"
"66287568073","ملت","IR647037454509595495754424","9084076"
"82248332854","ملی","IR977914611725767962223447","8780297"
"58103269906","ملت","IR912947542193292289511825","7588252"
"63701326876","سرمایه","IR735062629164243818403533","6349517"
"61272224320","ملت","IR656233885957435703999340","6325636"
"61272224320","ملت","IR182745652282013661272322","8456972"
"11027042969","ملی","IR705547301692268499684034","3561104"
"11027042969","سرمایه","IR789502315244976234231071","3474193"
"54299031268","تجارت","IR783820823919527806817105","1775522"
"54299031268","صادرات","IR593548616573043565074875","8832351"
"31644784414","ملی","IR849866858298499841163280","3806663"
"31644784414","تجارت","IR765259342585246362935853","2883053"
"31644784414","سرمایه","IR743543780872985330799093","1654478"
"31644784414","سرمایه","IR416299271106142005276551","9496459"
"71611042799","ملت","IR488344273444230261600560","7066527"
"71611042799","صادرات","IR879729529403502411430405","8250053"
"71611042799","تجارت","IR738694409489728238793064","5899550"
"46688379325","صادرات","IR234914405392073736746824","5393476"
"46688379325","تجارت","IR964910639310541770311639","6505625"
"46688379325","سرمایه","IR861401054082779627393760","4244040"
"46688379325","ملی","IR564938847008911129797789","8792121"
"46439029684","تجارت","IR471626771641229691852679","4308149"
"46439029684","ملی","IR880013855599274311118908","1834336"
"99381009043","صادرات","IR727942663362256280724115","6122979"
"99381009043","ملی","IR923049423085552079118915","5200958"
"73970868338","صادرات","IR503102861553513419681278","4068382"
"73970868338","سرمایه","IR147219431145118514356901","5610691"
"73970868338","تجارت","IR891740954946945880987625","5090609"
"78189176199","ملی","IR169019980900400901751644","5106258"
