"2991571","4641218","8188149","2004-04-17","176118000"
"5515076","1201253","4244237","2005-11-27","187481000"
"2738598","7916099","3138444","1972-01-04","117395000"
"8508306","9682264","8243054","1999-02-20","920618000"
"8452972","4422389","6514629","2003-03-27","256233000"
"1933034","5302413","9285051","1994-06-22","175272000"
"7367979","1070929","4633697","1990-07-29","507625000"
"7649889","9389043","2623000","1987-08-22","512914000"
"9011595","3512468","4470551","2016-05-20","585234000"
"7634234","4403863","3691121","1975-06-29","391943000"
"1621295","2723315","9957255","1973-09-02","653165000"
"2897314","9861675","9131342","1972-12-16","573075000"
"9009787","2493678","8556812","1978-09-17","440795000"
"7809007","8402281","9710155","1970-08-28","960406000"
"3173246","9148614","6374510","1979-03-31","696773000"
"6225541","3507087","8351898","1994-01-30","329125000"
"8011270","5095811","5011808","2011-08-20","829158000"
"1378426","3868810","5972513","1970-02-19","556473000"
"6650924","8933221","7583493","1975-04-04","796509000"
"8265669","4138494","4873585","1978-09-07","913399000"
"5448455","4608196","8527273","1998-06-03","161303000"
"7404296","1772971","5891181","1976-12-05","179669000"
"3094381","1979739","6500107","2012-12-29","123970000"
"4522014","1121748","2024043","2019-07-21","432408000"
"1303614","6995548","7658491","1971-10-02","194653000"
"6856946","9574314","3247101","1980-06-27","104530000"
"1091106","4041676","1888798","2000-05-11","236190000"
"3399984","3193569","3795996","2015-06-25","971887000"
"3219686","2188278","5263777","1998-12-05","67319000"
"8827274","6435803","9693622","1974-09-05","436363000"
"3715629","5439077","4698790","2003-04-22","789014000"
"4121376","1618192","7906080","1977-12-20","917571000"
"5088371","5936253","8781664","1994-10-06","445298000"
"8475052","3923258","4813745","1990-05-10","449096000"
"7671461","7293157","6806115","1976-05-26","905788000"
"8337242","3733489","8150229","2003-07-26","480466000"
"9291518","7143164","5559475","1997-06-08","45398000"
"9774364","8678494","1496491","1992-02-08","524845000"
"9828330","7033779","6050266","2018-11-04","787217000"
"8850034","7302327","9201045","1971-01-31","863354000"
"5869354","7164470","3617841","1971-05-27","920956000"
"5034552","9508498","5320102","1991-07-18","510821000"
"6838076","1404046","2110448","1992-12-03","911473000"
"6870937","9903640","4980697","2012-10-26","366899000"
"1138805","4700590","1611592","1994-12-17","625509000"
"6581217","3495682","9552475","1979-02-03","365174000"
"4493156","2850042","4144718","2004-06-24","257987000"
"6381886","6944777","3256135","1989-04-10","178523000"
"4576202","8485289","2218824","1987-11-05","208074000"
"9174346","9858452","4698007","2019-06-04","345625000"
"9298311","5759500","1613837","1995-02-12","164329000"
"3802598","5458584","6751041","1977-11-11","994045000"
"8983882","5767833","3599107","1976-01-23","221739000"
"8034688","6593419","8511223","1974-01-23","841259000"
"2478180","2531414","1909436","2008-12-10","317297000"
"7167554","5735940","9930583","2001-06-14","797820000"
"2155499","1306109","8387252","1988-10-02","809808000"
"1799638","4039820","9479024","1994-07-26","867727000"
"9305700","3862389","9472121","2007-08-16","25628000"
"6448430","8871326","2088667","1970-07-04","112424000"
"3053797","3664953","7822324","1979-01-07","489328000"
"9085214","6756968","1180677","1980-11-27","728494000"
"6499125","8170962","6741427","1992-11-11","958520000"
"7466071","1582150","6535257","2000-12-25","717656000"
"3249367","6517207","3934354","1977-05-04","930058000"
"1642753","6866092","7049835","2016-02-03","509089000"
"5783573","8229683","7500889","1989-05-02","519938000"
"1192575","7987127","3919238","1995-11-02","57212000"
"1824772","8126192","9742314","1989-03-12","11050000"
"1321353","3642834","9183089","1977-01-23","764782000"
"3354400","7319638","8516912","2006-04-19","288737000"
"9793223","4684514","5378747","1977-04-17","70202000"
"4456205","3967762","8326965","2013-01-09","110486000"
"4582092","5322942","6874936","1980-06-04","122648000"
"9858365","7614732","3932778","2017-03-26","687955000"
"7783529","5571236","1198810","2008-07-10","515050000"
"8019142","1006127","8283069","1997-01-25","780742000"
"7780364","9035991","3268912","1999-04-14","360196000"
"9355759","4645117","6768132","1975-06-10","585451000"
"4575185","4758455","7026170","1978-10-25","822272000"
"1625521","5653143","3854127","2009-12-02","871430000"
"8441503","1396025","3521131","1977-09-14","89604000"
"7669322","9071747","7305392","2005-02-09","695446000"
"2421092","2224600","1091759","1996-09-06","648873000"
"6644130","7248869","1040808","1978-10-11","497391000"
"7643739","6058148","8998064","2001-06-15","57620000"
"1312760","8392864","1275650","2014-12-24","711677000"
"9377553","3515128","7840591","1999-05-15","673370000"
"8325993","3368154","1640717","1981-07-26","388943000"
"9921456","8149757","6643593","1996-05-31","199255000"
"1238136","3071965","6385418","1983-07-06","984708000"
"6672172","7986512","3542249","1999-04-14","207880000"
"8426905","3507087","7540709","1986-10-15","952361000"
"7453491","7131157","2208732","1972-09-11","795348000"
"7017841","1074316","3870864","1976-05-08","707399000"
"6656798","9354205","1301159","1987-02-13","5621000"
"1982743","2800297","5331048","1995-10-24","563434000"
"3403558","8492770","2153964","1982-06-13","109807000"
"4715948","9189681","1638446","2014-09-24","608147000"
"6673512","2331427","7141335","2005-11-19","620801000"
"2791645","1572128","8179212","1991-09-19","708019000"
"1749870","5089857","9070109","2000-03-18","527740000"
"4777025","5837318","1710491","1979-03-21","360841000"
"4922415","5001317","9476750","2012-08-07","462208000"
"9337210","7316338","8645809","2012-09-03","251235000"
"8771960","2161498","2566895","1987-02-22","873503000"
"1448128","5898832","5709452","1992-05-09","866736000"
"7417264","6758498","9684016","1992-12-02","678620000"
"8088244","4321174","2745212","2001-11-18","277785000"
"7551992","3601787","4339650","2006-10-26","727786000"
"4549608","4429674","7365949","2002-04-08","393338000"
"7674647","4490099","1107387","1983-04-27","286176000"
"6006091","9284647","8468785","2007-04-03","902831000"
"3632076","9876294","3423775","1971-03-22","187316000"
"9752947","6412848","1109022","1975-06-11","755120000"
"1683219","8549904","4020562","2014-10-09","964085000"
"8971550","6355515","5322037","1999-04-21","920460000"
"8148044","1088366","3598262","1999-02-04","694190000"
"4180996","1024230","6070715","1980-01-14","552457000"
"8910452","3198398","5006587","2019-08-04","378255000"
"5838094","7693510","8071528","2003-06-09","840710000"
"4359875","2074256","6932340","1983-05-08","713996000"
"7829370","9129523","3535131","2004-01-12","932298000"
"8075956","5367636","2108921","1987-01-05","679660000"
"2072012","9480021","5123211","1989-02-22","440195000"
"5523846","3079040","8570105","2013-02-28","312617000"
"2688464","6767664","3130589","2014-11-08","787898000"
"8400421","5606558","3495084","1990-02-07","206422000"
"1172877","1773120","9871239","2013-05-09","22797000"
"9823683","5888595","1552112","1975-08-02","49675000"
"2533075","6889083","4826525","1994-03-13","437311000"
"3778505","4477758","7467666","2000-04-06","233943000"
"3258322","5897728","8751748","1979-04-16","629709000"
"1517885","1894950","5041971","1970-02-24","835521000"
"6317508","1272727","6427460","2010-02-15","589233000"
"7063055","4159321","1704003","2003-02-23","409743000"
"3235704","3806971","3119888","1991-06-03","793420000"
"9064488","2330894","1903255","1995-03-04","704515000"
"1079259","3232771","4334577","1971-10-09","41243000"
"3059949","5105468","5379454","2006-05-10","166198000"
"3816179","8648610","4447284","2009-03-02","56384000"
"1561220","2230312","1854812","2015-09-27","735787000"
"2535432","4071616","8176028","2012-01-20","284842000"
"5137446","1783572","8253078","1971-10-31","570894000"
"2030233","6166288","4399415","2013-03-22","174034000"
"4585695","8695266","5304569","1993-03-05","346465000"
"5970128","2810404","8071221","1989-01-16","289924000"
"3801131","9687275","6437417","2008-09-22","913579000"
"8783578","1612017","9369286","1992-02-02","995993000"
"2797156","8622563","1019336","2002-07-10","802170000"
"7636786","9064843","7005216","2019-03-28","224472000"
"9085872","6575608","3284791","1999-01-05","148584000"
"9080303","1209378","5869820","1970-09-18","132859000"
"9768637","8784958","7287978","1974-01-15","537644000"
"9922424","6909595","8825223","1996-01-10","690024000"
"1039400","3910488","9285938","1977-02-16","190097000"
"8978340","1377166","3076811","1978-06-04","315771000"
"7719144","8431375","6298296","2001-08-15","588919000"
